Track name,Artist name,Album,Playlist name,Type,ISRC,Qobuz - id
"Dalla ","Lucio Dalla","Dalla ","Favorites Albums","Album","0886448356226","z24q75lltq3fc"
"Aida","Rino Gaetano","Aida","Favorites Albums","Album","0743211496926","0743211496926"
"Mio Fratello E' Figlio Unico","Rino Gaetano","Mio Fratello E' Figlio Unico","Favorites Albums","Album","0743211497022","0743211497022"
"Leftism ","Leftfield","Leftism ","Favorites Albums","Album","0886446209326","0886446209326"
"Oxygène","Jean-Michel Jarre","Oxygène","Favorites Albums","Album","0886445417623","vasrrlm7ue6ua"
"Over-Nite Sensation","Frank Zappa","Over-Nite Sensation","Favorites Albums","Album","0602438149230","zijeykfc91yca"
"Apostrophe(')","Frank Zappa","Apostrophe(')","Favorites Albums","Album","0602435908854","r95756z9tzbhc"
"Joe's Garage Acts I, II & III","Frank Zappa","Joe's Garage Acts I, II & III","Favorites Albums","Album","0602435909158","o4rlelg4iv2gc"
"Sheik Yerbouti","Frank Zappa","Sheik Yerbouti","Favorites Albums","Album","0602435909189","v4m7e0qiorycb"
"One Size Fits All","Frank Zappa","One Size Fits All","Favorites Albums","Album","0602438149322","ey0lgh8uaz2fa"
"Stand Up ","Jethro Tull","Stand Up ","Favorites Albums","Album","0190295932824","0190295932824"
"Thriller","Michael Jackson","Thriller","Favorites Albums","Album","0074643811224","0074643811224"
"Nero A Metà (2008 Remastered Edition)","Pino Daniele","Nero A Metà (2008 Remastered Edition)","Favorites Albums","Album","5099952234859","5099952234859"
"Bella 'mbriana ","Pino Daniele","Bella 'mbriana ","Favorites Albums","Album","0190296761171","gxehgx7sng7rc"
"Pino Daniele (2008 Remastered Edition)","Pino Daniele","Pino Daniele (2008 Remastered Edition)","Favorites Albums","Album","5099952235153","5099952235153"
"Texas Flood","Stevie Ray Vaughan","Texas Flood","Favorites Albums","Album","0886443827141","0886443827141"
"Let's Get It On","Marvin Gaye","Let's Get It On","Favorites Albums","Album","0060253780964","0060253780964"
"Fulfillingness' First Finale","Stevie Wonder","Fulfillingness' First Finale","Favorites Albums","Album","0060253780962","0060253780962"
"Talking Book","Stevie Wonder","Talking Book","Favorites Albums","Album","0060253780972","0060253780972"
"Songs In The Key Of Life","Stevie Wonder","Songs In The Key Of Life","Favorites Albums","Album","0060253780968","0060253780968"
"Endtroducing.....","DJ Shadow","Endtroducing.....","Favorites Albums","Album","5400863103361","mxro4fdp8agbb"
"You","Larry Lovestein & The Velvet Revival","You","Favorites Albums","Album","0887158282126","k3iqov3g3valc"
"untitled unmastered.","Kendrick Lamar","untitled unmastered.","Favorites Albums","Album","0060254785163","0060254785163"
"Shades Of Blue: Madlib Invades Blue Note","Madlib","Shades Of Blue: Madlib Invades Blue Note","Favorites Albums","Album","0602577513381","vz8zgahd1zteb"
"Random Access Memories","Daft Punk","Random Access Memories","Favorites Albums","Album","0886443927087","0886443927087"
"Black Star","Black Star","Black Star","Favorites Albums","Album","0000881128972","0000881128972"
"The Miseducation of Lauryn Hill","Lauryn Hill","The Miseducation of Lauryn Hill","Favorites Albums","Album","0886446727189","0886446727189"
"Miles","Blu & Exile","Miles","Favorites Albums","Album","0682670888654","c8tk7yrbsuvoa"
